MSFT,Microsoft Corporation		
GE	   ,General Electric Company	
CRM	   ,Salesforce, Inc.	
GERN,Geron Corporation		
BABA,Alibaba Group Holding Limited
GEHC,GE HealthCare Technologies Inc.			
MU	   ,Micron Technology, Inc.	
RIVN,Rivian Automotive, Inc.			
VVOS,Vivos Therapeutics, Inc.			
AAPL,Apple Inc.	
CRKN,Crown ElectroKinetics Corp.		
ENVX,Enovix Corporation			
VERA,Vera Therapeutics, Inc.		
INM	   ,InMed Pharmaceuticals Inc.	
AMV	   ,Atlis Motor Vehicles, Inc.	
EGRNF,China Evergrande Group		
OSTK,Overstock.com, Inc.		
LHDX,Lucira Health, Inc.
TYDE,Cryptyde, Inc.	
ROKU,Roku, Inc.		
IBIO,iBio, Inc.	
PULM,Pulmatrix, Inc.	
SYTA,Siyata Mobile Inc.	
TENX,Tenax Therapeutics, Inc.		
SNOW,Snowflake Inc.	
PERI,Perion Network Ltd.			
HON	   ,Honeywell International Inc.		
JD	   ,JD.com, Inc.	
OBLG,Oblong, Inc.	
GEHCV,GE HealthCare Technologies Inc.